joke,how,why
有位奶奶发Line给乖孙子：「你惨了啦，赶快去躲起来，你的老师因为你翘课，现在来我们家找你了！」乖孙回传：「奶奶，要赶快躲起来的是妳！因为我今天打电话向老师请假，说奶奶过逝了，所以今天不去上学！」结果奶奶已经跟老师开了门，老师很惊讶的说：「您老...........」奶奶也很惊讶的跟老师说：「你怎么看得到我，今天头七，我回来看看，不好意思，让老师您受惊了！」老师口吐白沫，顿时晕倒。,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"今天发现老公给女儿买了一件可爱的小衣服，上面写着：避孕失败！
",桥界推论,另有含义
"教授和农民打赌。 教授说：我出一题，你不知，给我五元； 你出一题，我不知，给你五百，如何？ 农民同意。 教授：月亮距地球多远？ 农民递给教授五元钱。 农民问：上山三条腿，下山四条腿，是什么动物？ 教授苦思无解，无奈输五百。 农民接过钱，教授追问：是什么动物？ 农民递给教授五元钱。
",桥界推论,另有含义
"女：“开门见山吧，我喜欢的男人是拥有高学历和广阔梦想的人。” 男：“我很符合啊，你说的不就是我么？” 女：“是么，那你的梦想是什么？” 男：“我的梦想从儿时到现在一直没变过：“读万卷书，行万里路。” 第一条我上学的时候已经完成了，第二条正是我如今从事的工作。” 女：“真不错，你是从事什么工作的？” 男：“我是送快递的。
",桥界推论,意想不到的答案
"新经理上任，秘书拿着本地的教育经费报表请领导签字，领导一看：“为什么要这么多教育经费，教育真有那么重要吗？”秘书：“领导，教育这件事重不重要，我举个例子您就知道了”领导：“什么例子？”秘书：“李逵没受过教育，听说领导宋江强占民女，他就要砍了领导。林冲受过教育，媳妇被领导的儿子占便宜，自己被诬陷，连个屁都不敢放！”领导说：教育的确很重要，你这个费用我给你批了..
",桥界推论,另有含义
有一个印假钞的坏人被逮捕了警察说：你为何要印假钞！！！坏人说：因为我不会印真钞！！！,禁忌\秘密揭露,搞错重点或是误会情节
"女：「我觉得你的鞋蛮好看的欸～」男：「是吗？但我觉得再好看也没有你好看！」
",⽂字游戏,意想不到的答案
"据说，在白案嫌犯陈进兴挟持南非武官一家大小当天，为了缓和现场紧绷的气氛，警方决定让陈嫌与记者进行访问.........记者：「如果让你从头再来一次，你想做什么呢？」陈：「我想出国啦，台湾的治安太坏了！」记者：「............」
",桥界推论,另有含义
考试open book，教授说可以带任何你们带得动的东西。考试当天，小轩扛了三大箱书，小龙带著手提电脑，正当得意时，只见小明....揹著一位教授进教室。,类比,意想不到的答案
"有个二货，踩钉子上了，到医院打破伤风疫苗，第二天又踩钉子上了，问大夫还用打疫苗不，大夫回头瞅瞅他说：“拉倒吧，有那闲钱看看眼睛吧。”
",桥界推论,另有含义
"女儿（一年级）很爱劳动，已经学会作简单家务。一日回到家中，见她一人正在做汤圆，盘中已经高高垒起二十余只。正欲表扬鼓励两句，她一不留神，手中汤圆滚落地上。她立即钻到桌下，拣起后放在盘中。 我大惊：掉在地上的就不要了！ 她神色自若地说：不要紧，每个都掉在地上过的
",禁忌\秘密揭露,意想不到的答案
"一男子在一次相亲会上看上了一个漂亮的女人， 于是就主动搭讪说：感觉我们有某种缘分。 并说自己有个富豪的爸爸。女子跟他聊天，寻问了他的家庭情况后， 就再也没有联系。后来，所谓的缘分不幸被他自己言中了—— 这位漂亮的女人成了他的后妈…
",桥界推论,意想不到的答案
"男孩向他母亲哭诉：“我们班上所有同学都嘲笑我头大，说我是大头鬼。” 母亲安慰他：“不要听他们胡说，你的头其实很好看。好了，不要哭了，去给我买五公斤大米回来吧。” 男孩：“购物袋在哪里？” 母亲：“要什么购物袋，就用你的帽子好了。
",讽刺,另有含义
"女人常发牢骚，说男人没本事，迎娶她时家里啥都没有。 她指着衣柜、彩电、床、被子说：“这些东西都是我从娘家带来的，你有啥?” 男人一笑，指着她怀里的孩子说：“你敢说孩子也是你从娘家带来的?
",无逻辑和矛盾,意想不到的答案
"一瞎子，一矮子，一驼子，吃酒争座，各曰：说得大话的便做头一位。 瞎子曰：我目中无人，该我坐。矮子曰：我不比常（音同长）人，该我坐。 驼子曰：不要争，算来你们都是直背（音同侄辈），自然该让我坐
",⽂字游戏,意想不到的答案
"一个人穿了龟皮做的新鞋上班。同事问他喜不喜欢那双鞋，他若有所思地答：「我从没穿过这么舒服的鞋，不过有个问题，我走了一个半小时才走出那家商店。」
",桥界推论,另有含义
"一位医生不学无术，病家花费了不少医药费，总是治不好病，主人就叫仆人去臭骂一通，出出怨气。 仆人去了半天才回来，主人问骂过了没有，仆人说：没有。问：为啥不骂？答：我走到医家那里看到打他骂他的人簇拥了一大堆，我挤不上去，没骂成哩
",桥界推论,另有含义
"小明：「爸爸，为什么你有那么多白头发？」爸爸：「因为你不乖，所以爸爸才会有那么多白头发啊。」小明：……（疑惑中）小明：「那为什么爷爷全部都是白头发？」爸爸：！＠＃＄％︿＆＊
",讽刺,另有含义
"领儿子去买东西时碰见一个卖樱桃的熟人，熟人让小孩抓一把樱桃，小孩犹豫了一下，没动手。 “你不爱吃樱桃吗？”老熟人问。 “爱吃。”于是，老熟人抓了一把樱桃塞进小孩儿的衣兜里。 回家路上，爸爸问儿子：“刚才叔叔让你拿樱桃时，你为什么不拿？” “因为，他的手比我的手大。
",禁忌\秘密揭露,意想不到的答案
"儿子：爸爸，晚上我们去看马戏吧！ 爸爸：儿子，我没时间。 儿子：听小朋友说，马戏团里有一位不穿衣服的阿姨在老虎身上跳舞呢。 爸爸：那好吧，咱们一起去，我很久没有看老虎了
",桥界推论,另有含义
"老师：您的儿子在学校谈恋爱了。家长：我知道！老师：您不反对？家长：反对什么，在学校有他女朋友管著他，不让他抽烟喝酒，生病的时候照顾他，天冷了提醒他多穿衣服，这样很好阿~老师：那就是同意我们在一起了吗？
",禁忌\秘密揭露,意想不到的答案
"某小学生学习小提琴，这天来到班上，打开琴盒，赫然发现里面放着一把冲锋枪。 于是他大惊失色的说：坏了，我爸爸拿着我的小提琴去银行了
",桥界推论,荒诞或是愚蠢的行径\话语\情况
爸，我好想去剑桥” 然后他就把我送去了工地,⽂字游戏,搞错重点或是误会情节
"A：你姓什么 B：我姓交 A：你跟你爸姓交喔！
",⽂字游戏,另有含义
"「医生，我一睡著便会打鼾。」「鼾声响不响？」「很响。」「你太太会很厌烦吗？」「我还没结婚.」「你一个人睡？那不成问题了..」「谁说不成问题？！我因为打鼾被炒了五次鱿鱼了！」
",桥界推论,另有含义
几个女孩在一起谈论将来嫁个什么样的老公。 其中一个态度十分坚决地说：“我非当兵的不嫁！”其他女孩不解地问：“为什么？” “因为他在部队不仅学会了洗衣做饭，更重要的是他学会了服从命令！,桥界推论,另有含义
老师：乔尼，学生守则一共几条？ 乔尼：十条。 老师：如果你破坏了其中的一条…… 乔尼：那还有九条,禁忌\秘密揭露,意想不到的答案
为什么要读书？举个例子，当你看到夕阳余晖，你的脑海浮现的是“落霞与孤鹜齐飞，秋水共长天一色。”而不是“卧槽，这么多鸟，真好看，真他妈太好看了！”,类比,意想不到的答案
"今天和女友逛街，路过一店，门面不大，但是门口挂着很多衣服，有一件挺漂亮的，虽说是挂在门口的是低端货，但是女友挺喜欢的，便上去试了试，左右瞧了瞧，满意的点了点头。正要叫店员收钱，一妹子跑了出来，干笑着说：不好意思，我们是干洗店。 当时我和女友脸上的笑容瞬间凝固了，场面十分尴尬
",禁忌\秘密揭露,搞错重点或是误会情节
"在化学实验课上，教授对学生说：做实验既要有勇气，又要观察仔细！ 说着就把手伸进盛尿的烧杯中，然后伸进嘴里舔一舔。同学门看了之后都纷纷把手伸进盛尿的烧杯中，再放在嘴里舔一舔。许多同学都恶心的要命，有的都把早饭吐了出来。 教授看了笑着说：你们勇气多余，观察不足啊！我伸进去的是食指，放进嘴里的却是中指！ 哗！倒了一片
",禁忌\秘密揭露,荒诞或是愚蠢的行径\话语\情况
" 题目: 天涯海角。小朋友写: 妹妹乱跑跑到天涯海角.
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"老婆出差，晚上打电话过来。 老婆：晚上自己解决啊！ 我：啊？你说什么？ 老婆：不要想歪，我说是吃饭
",禁忌\秘密揭露,搞错重点或是误会情节
"新郎：亲爱的，让我们商量一下婚后的生活吧！在我们家里，你想当总理还是副总理？ 新娘：嗅，亲爱的，我可不敢当。不过我想我还是能够胜任一个较小的角色。 新郎：什么角色？ 新娘：当财政部长
",桥界推论,另有含义
"两个爱尔兰人坐在一个酒吧间里喝酒。 其中一人问另外一个：你是哪里人？ 另一个回答：我生在科克郡。 不是开玩笑吧？我也生在科克郡！……咱们再来一杯吧！你生在　　科克郡什么地方？ 另一个答道：我生在我妈的房子里，门前有一条小河从萨克村南边流过。 上帝保佑，第一个人叫道：你能相信吗？我也生在我妈的房子里，也离萨克村不远。为了咱们的亲近，来，我们再干一杯！……那么你是在哪个学校上学呢？ 我上学是在镇上的圣母受难学校。另一个答道。 这时第一个人已经兴奋得不能自已，他大声叫了起来：天啊！太不可思议了，我也是在那家学校上的学，这个世界真是太小了！老板，再给我们每个人来上一杯！ 这时，酒吧里的电话铃响了，老板接电话：克兰酒吧……噢，今天晚上没有什么新鲜事，就是奥哈拉家的那对双胞胎又喝多了
",禁忌\秘密揭露,荒诞或是愚蠢的行径\话语\情况
小明到医院看病，医生宣布他得了绝症，他很悲伤的问医生还有多久可活。医生回答：「10..........」小明：「10年？还是10个月！？！」医生看著他说：「 9..........8..........7...........6..........」,桥界推论,另有含义
"妹妹：哥，如果有不良少年勒索我们，怎么办？ 小新：跑呀！ 妹妹：你跑得赢他们吗？ 小新：我只要跑得赢你就行
",桥界推论,另有含义
"孙子为识字不多的祖母念报纸新闻。今天的头版：「第一届世界经典棒赛．．．．．」祖母：「啥米！ㄅㄤˋㄙㄞˋ也可以登在头版，现在的报纸真是乱七八糟。」
",⽂字游戏,搞错重点或是误会情节
"3岁的儿子小韬最爱凑热闹，哪儿人多就往哪走。妈妈实在拉不住，
气愤地对他说：“你就是爱凑热闹！” 小韬马上回答：“我才不爱臭热闹呢，我爱香热闹！",⽂字游戏,搞错重点或是误会情节
"一应届生应聘，老板问他：“你想要什么工作环境？” 他答：“月薪10万元，包住，每年公费出国30天。” 
老板：“我给你月薪20万元，送你一栋房子，每年公费出国60天。” 他惊讶地说：“这么好！该不会是跟我开玩笑吧？” 老板：“是你先跟我开玩笑的。",禁忌\秘密揭露,意想不到的答案
"小胖做大扫除时偷吃红豆冰，被老师发现了。
 老师不高兴地对小胖说：“是不是太闲了？” 小胖回答：“老师，不闲，是甜的！",⽂字游戏,搞错重点或是误会情节
半夜里，丈夫突然把妻子摇醒，兴奋地说：刚才我做梦捡到了一个装有五千元的提包！ 妻子唔了一声，又睡着了。 过了一会，丈夫被妻子的抽泣声惊醒了，问她为什么哭，妻子说：我梦见你捡的那个提包被人偷走了,其他,意想不到的答案
楼主：为什么伤害隔着那么远都能做到，而安慰，却必须在身旁才行呢？回复：不用啊，支付宝打钱就行了。,禁忌\秘密揭露,意想不到的答案
一美女和一丑男在路上遇见了，美女给了丑男手机号码。 丑男非常高兴，结果美女说：“我都给了你我的电话号码了，你怎么还不懂我心思！ 有事没事就应该给我充几十块钱话费。,禁忌\秘密揭露,搞错重点或是误会情节
昨天被公司美女同事莫名的亲了一口，心里各种的爽。 后来才知道人家玩真心话大冒险， 是叫亲一个公司最丑的，最丑的！ 躺着也中枪啊,羞辱,意想不到的答案
儿子问爸爸：“爸爸，你初恋的时候是什么样子的啊？” 爸爸说：“那时我18岁，我走进一家饭店吃饭， 隔壁桌是一位，我一直以来见到过最美丽的姑娘。 就在我看见她的那一秒，丘比特就射出了他的神箭。” 儿子问：“哎，然后呢？发生了什么？” “什么也没发生。那箭射偏了，不偏不倚扎在了你妈那...,讽刺,另有含义
这一天，一位漂亮的女孩在一个池塘边发现了一只非常大的青蛙。女孩惊讶极了，伸手就去捉青蛙。没想到，青蛙竟主动跳上了她的手掌。 接着，更令人惊奇的事发生了，青蛙开口说起了话：“亲爱的姑娘，我在这里已经等了你很久了。我本来是一位王子，很多年前因为得罪了一个巫婆，我被她施了咒语，就变成了现在得这个样子。只要你吻我一下，我马上就会恢复王子的模样。为了感谢你，我会把你娶进皇宫，跟我的父皇和母后生活在一起。婚后，你什么都不用做，只需为我准备一日三餐，给我洗洗衣服，生孩子，过着令全世界的女人都羡慕的生活。” 女孩一听，笑了。 晚上，女孩一边吃着美味的青蛙肉，一边自言自语道：“我可不想过那样的生活！,转化,意想不到的答案
一生赁僧房读书，每日游玩，午后归房，呼童取书来。童 持《文选》，视之，曰：低。持《汉书》，视之，曰：低。 又持《史记》，视之，曰：低。僧大诧曰：此三书，熟其 一，足称饱学，俱云低，何也？生曰：我要睡，取书作枕头耳,禁忌\秘密揭露,意想不到的答案
甲：听说你太太要和你离婚了？ 乙：她说她不想纠缠在三角关系里。 甲：三角关系？是不是她知道你在外面有情人的事？ 乙：不是，她怀了她老板的孩子,桥界推论,意想不到的答案
有一个男子在沙漠中迷路就快渴死时捡到了一盏灯搓了灯后里面跑出一个精灵精灵说：「感谢你救我出来我可以给你三个愿望」于是他许了三个愿望第1.我快渴死了！给我源源不绝的水喝第2.我想离开这里我要回家第3.我好久没看到女人了想看女人的屁屁神灯精灵答应了...开始念起咒语咻了一声那个男子就变成家里厕所的....马桶！,桥界推论,意想不到的答案
小新：「美芽，公园有个可怜的欧巴桑，我想帮助她」美芽：「小新真有爱心，就给她10块钱吧！」美芽：「咦！你怎么买了香肠？」小新：「她就是卖香肠的嘛！」,桥界推论,意想不到的答案
鲤鱼妈妈:“小鲤鱼？” 小鲤鱼:“……” 鲤鱼妈妈:“小鲤鱼，妈妈叫你呢。” 小鲤鱼:“……” 鲤鱼妈妈:“怎么了，小鲤鱼？为什么不答妈妈的话了？” 小鲤鱼:“妈妈，闭嘴，鱼是不能说话的哦！,禁忌\秘密揭露,意想不到的答案
我不知吃了什么坏东西，在厕所里吐。 吐完了，出来见儿子在玩电脑。我委屈地说：“妈妈吐了，你也不过来看看。” 儿子也感到内疚：“妈妈要不你再吐一遍，我给你拍拍。,无逻辑和矛盾,意想不到的答案
亚清有一个三岁的儿子叫俊仔，一天，她发现俊仔站在窗前，一边挥手一边说：「伯伯，拜拜！」由于他们住在二楼，所以亚清不以为然，以为俊仔是和街外的行人说，但后来发现俊仔几乎每天黄昏左右都会这样做，但又不见窗外有人，亚清开始觉得不对劲，于是问俊仔和谁讲拜拜，俊仔说：「和伯伯讲。」亚清惊讶地问：「外面那里有伯伯呀？」只见俊仔一边指著出面，一边说：「就是那个太阳伯伯了。」,禁忌\秘密揭露,搞错重点或是误会情节
农夫：我晚上上床后常感觉发冷。 医生：我也有过，那时我会搂着我太太，就会暖和了。 农夫：这办法不错，但您太太什么时候方便呢,桥界推论,搞错重点或是误会情节
员警：「你被偷去的大衣，值多少钱？」失主者：「新做的时候，是20元，曾经当过一次，是12元赎出来的，一共32元。」,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
同志，你每天夜里拉小提琴，吵得邻居没法睡觉。 那好，我从今天起改拉催眠曲,无逻辑和矛盾,搞错重点或是误会情节
老师：“校长，最近不少家长反映孩子们的书包太重了。” 校长：“是啊，孩子们每天背这么重的书包，走这么远的路上学，相当于每天进行两次负重竞走，运动量确实够大的。” 老师：“怎么解决呢？” 校长：“从下学期开始，就把体育课取消了吧！,桥界推论,搞错重点或是误会情节
女儿问老婆：“妈妈，为什么大人讲故事，每次都要从‘从前有个地方……’开始？” 老婆看了我一眼，回答说：“不是每个人都爱这样开始讲故事的，有人一讲故事就从‘今天工作实在太忙，所以回来晚了……’开始。,讽刺,另有含义
"一天，在街上的一对情侣，男的正在盯著别的女生看。女生：「你这样看别的女生，我会伤心耶！」男生：「唉！其实不只是妳，我也很伤心......」女生：「怎么会？」男生：「看别人再回头看看妳，唉......」女生：「SHIT！@#$%""&*%$」",讽刺,另有含义
南酋7岁了，还是非常调皮。有一次，母亲一本正经地对她说：南酋，你也该懂事了，再这样调皮下去，将来你的孩子肯定也是个调皮鬼。 南酋得意忘形地高声嚷了起来：好啊，好啊，这回妈妈可是不打自招啦,桥界推论,意想不到的答案
一天，妈妈到幼儿院来接小明回家，发现小明非常不高兴，就问他怎么了。 小民说：小朋友都笑话我，说我头大…… 说着说着就哭了。 妈妈生气的说：谁说的？我们明明的头才不大呢！好了好了，宝宝不哭，妈妈给你买梨吃，好吗？咱们买十斤，你不是最爱吃梨吗？ 小明一听高兴了，就不哭了：好啊好啊，吃梨喽，可是我们没袋子，用什么装呢？ 妈妈想了想说：那就用你的帽子装吧,讽刺,另有含义
有一个军官的学校，教官命令两个军校生去学校做防毒宣导。结果，教官在学期末，就找了各一个成效最好跟最烂的学生。教官问最差的学生：「你是怎么宣导的？」该学生说：「他在黑板上画两个圈圈，一大一小，然后告诉那些学生说：『圈圈比较大的，是吸毒以前的脑袋；比较小的，是吸毒后的脑袋。』」教官又问了成效最好的学生：「你又是怎么宣导的？」该学生说：「我也是画两个圈圈啊，一大一小。然后我告诉他们说：『比较小的圈圈，是进监狱以前的屁眼；比较大的，是出狱后的屁眼。』」,禁忌\秘密揭露,另有含义
英国空军副元帅亚当斯报告说：不列颠之役已近尾声。我被召到战斗机指挥司令部开会。我驾车去，路上有牌示拦阻：「路已封闭─有未爆的炸弹。」我问值勤的警察有无别路可通。他走过来大声对我说：「对不起，你不能过去，炸弹随时会爆炸。」他走到车前，看到了我的制服，便退后几步说：「对不起，长官，我不知道是您。您可以过去，没问题。」,桥界推论,另有含义
彼德一月份的学校成绩退步了。父亲问：「怎么搞的？假期里玩得太开心了吗？」他解释道：「爸，你该知道是怎么回事的，耶诞节后样样东西都减价了。」,类比,另有含义
丈夫在外面包二奶，结果被妻子知道了，妻子非常生气地在丈夫脸上打了一耳光。 妻子说：“一只脚踏两条船是吧？离婚，以后你跟你二奶过吧！” 丈夫说：“我坐船都会晕，怎会脚踏两只船呢？,桥界推论,搞错重点或是误会情节
一士子赴试，艰于构思。诸生随牌俱出。接考者候久，甲 仆问乙仆曰：不知作文一篇，约有多少字？ 乙曰：想来不 过五六百。甲曰：五六百字，难道胸中便没有了，此时还不 出来？乙曰：五六百字虽有在肚里，只是一时凑不起来耳,桥界推论,另有含义
丈夫：“结婚以后，我才知道婚姻是沉重的枷锁！” 妻子：“那当然，所以才要两个人共同承担。” 丈夫试探着问：“你说要是三个人一起承担这些压力的话，你说压力会不会减轻些？,桥界推论,另有含义
一次玩你画我猜，我的题目是喜帖，我就先画了一个方框，接着涂上红色（喜帖都是红的面），上面又写了一个“囍”字，第一个猜的是结婚。 第二个猜的是红包，第三个猜的最牛，“卫生巾”,⽂字游戏,意想不到的答案
一天，小明和他的爸爸去旅游，小明的爸爸说：“咱们明天坐动车去。” 小明说：“我才不去呢。”爸爸问他为什么，小明说：“那我们还不要冻死。,⽂字游戏,搞错重点或是误会情节
唐先生夫妻刚买了轿车就赶上换发新车牌，两人决定用宝贝女儿梦迪的名字命名。上了牌照开回家的一路上，见到的人总是指着车牌窃笑。二人不解，请教一位朋友。 朋友一看车牌，问：你们从来不上网吧？ 原来唐先生女儿名字的英文缩写是：TM,⽂字游戏,另有含义
今天，小王同学打电话到人事部门找他：“小王在么？” 接电话同事说：“小王已不在人事了。” 小王同学：“啊啊！？什么时候的事啊，我怎么不知道啊，还没来得及送他呢？” “ 没关系，你可以去下面找他啊,⽂字游戏,搞错重点或是误会情节
“打劫（大姐）！”随着一句不太标准的普通话， 飞机上沸腾起来。吃饭的、聊天的、睡觉的，都像听见冲锋号一样， 兴奋地望向声音的源头。 一个平头小伙刚举起半杯透明液体，就被众人压在了身下。 半小时后，小伙从昏迷中醒来， 看着眼前一脸严肃的女乘务长， 终于哭着说完了那句话：大姐，加杯水,⽂字游戏,搞错重点或是误会情节
专家叹了口气，说：“我不知道怎样才能让植物快速变绿。” 老婆笑着说：“咳，我还以为什么事呢，要快速变绿还不简单啊？直接扔进股市里去呗，你看我昨天买的股票，今天全变绿了。,讽刺,意想不到的答案
"上次看CCTV的一个节目,什么名字不记得了,就记得开头是个记者在火车站问人:""你幸福吗?"",见人就问,有人说幸福有人说不。 后来问到一个农民..... 记者:""你幸福吗?"" 农民看了记者几眼,无辜的说道 ""俺姓王。",⽂字游戏,搞错重点或是误会情节
一天，二女生正在聊天。其中一个女生突然叫了一声：快看那有个酷哥。 另一女生道：什么酷哥？！只不过剪了个酷头而已! 这时教导主任刚好走过，说了一句：捡了个裤头也要交工,⽂字游戏,搞错重点或是误会情节
有一天，有一位小女生诞生了她爸爸把他取名为李家在后来，她嫁给一个姓胡的男生所以她的名子变成「胡李家在」(用台语念)(ㄏㄛㄌㄧㄍㄚㄗㄞˋ),⽂字游戏,另有含义
法官对被告说：「你怎么能证明你是无罪的呢？」「这得让我好好想一想。」「好吧，给你5年的时间，足够你想了吧！」,桥界推论,另有含义
高考考完后，心知考得不怎么样，就对父亲如实说了考试成绩不理想，父亲无奈的说:“不行的话，就复读吧。” 这时坐在一旁的爷爷生气的说:“考不上就考不上，服什么毒啊？！没出息！！！,⽂字游戏,搞错重点或是误会情节
"问：请问...糖果是公的还是母的？答：母的，因为..糖果放在桌上会""生""蚂蚁",⽂字游戏,另有含义
某天与同学走在路上 我说：“腌制品吃了致癌。” 同学很淡定的说：“那太监一定都有癌，他们被腌了。,⽂字游戏,意想不到的答案
张奎与同学交流学习几何课程经验。 张奎说：“平面几何很容易，立体几何就让人头晕了，解析几何就让人晕死了。” 李玲说：“人生几何，更难学，目前还没有任课老师。,⽂字游戏,意想不到的答案
男：你属什么？女：属羊。你呢？男：属于你。,⽂字游戏,意想不到的答案
"一位年轻的女英文老师跟国小一年级刚入学的小朋友们上英文课，老师要求小朋友们跟著她一起念A.B.C.D.....全班的小朋友们都很认真的跟著老师念，唯独只有小明紧闭著嘴不念，女老师很讶异的问小明：你为什么不跟著念呢？小明回答：老师，我妈妈说""B""是脏话，不可以说老师愣了一下，了解他的意思后马上跟他解释说：小明不是这样的，你妈的""B""跟老师的""B""是不一样的你妈的""B""是脏话，而老师的""B""则是外国人用的…",桥界推论,另有含义
肚子痛的时候先别担心只是肠胃想发言,⽂字游戏,另有含义
在一次胜仗后，曹操骑马训话。 曹操：“兄弟们，我曹某人操练出来的兵怎么样。” 士兵：“曹（操）将军好，曹（操）将军妙，曹（操）将军操的呱呱叫！” 曹操一听，直接落马，气晕过去,⽂字游戏,另有含义
唐僧师徒来到一家餐馆化缘。 掌柜问道：“请问长老要点什么？” 唐僧谦逊地说：“别人吃剩下的即可！” 悟空：“给我来碗剩饭吧。” 沙僧：“给我来碗剩汤。” 八戒：“给我来个剩女吧。,⽂字游戏,意想不到的答案
马伊俐她老公表面上是个演员，实际上是个狠角色，每次报纸上的评论员，电视台的播音员都会这样说：“文章强调、文章指出、文章再次强调、文章最后强调...” 所以说马伊琍真是嫁的好啊...,⽂字游戏,搞错重点或是误会情节
有一天几个当官的和他手下来饭店吃饭，店里有个服务员（女）刚来18岁属狗经验不丰，进了饭店后。 领导说：小姐！茶！ 小姐：1234567（原来他以为叫他查人数，没经验） 领导：倒茶！！ 小姐：7654321 领导：你数啥喃！ 小姐：我属狗（答非所问,⽂字游戏,搞错重点或是误会情节
来福在一家公司工作，因为离家比较远， 又想省点钱，就让他叫妻子给他送饭。 一次妻子送去的时候来福还没下班， 于是妻子在便当旁写了张纸条：大便当饭，小便当菜,⽂字游戏,另有含义
小杜与小豪这天吵了起来…小杜不屑的说：「哼！我要是你妈生你的时候就直接把你掐死算了！」小豪用著极为鄙视的眼光不甘示弱的说：「是吗？我若是你爸你早就被我射在墙壁上了！」小杜：「？？？？」,类比,荒诞或是愚蠢的行径\话语\情况
